phrasal	meaning	significado	phrase	frase	position
get off	leave a bus, train, etc..	descer de um ônibus, trem, etc.	We got off the bus and walked to my house.	Nós saímos do ônibus e caminhamos para minha casa.	2546
get off	finish, leave work.	terminar, deixar o trabalho.	I like to get off early on Fridays.	Eu gosto de sair cedo as sextas-feiras.	2547
get off	start a journey.	começar uma jornada.	We need to get off early to avoid the rush hour traffic.	Precisamos partir cedo para evitar o tráfego na hora do rush.	2548
get off	help a baby or child sleep.	ajudar um bebê ou criança a dormir.	I can't get the kids off because of the noise from next door.	Não consigo fazer dormir as crianças por causa do barulho da porta ao lado.	2549
get off	orgasm, have sex.	orgasmo, fazer sexo.	We got off last night.	Nós fizemos sexo ontem à noite.	2550
get off	manage to fire a gun.	conseguir disparar uma arma.	She got off a few shots before she was arrested.	Ela disparou alguns tiros antes de ser presa.	2551
get off	stop talking on the phone.	parar de falar ao telefone.	Let me know when he gets off the phone as I need to make a call.	Deixe-me saber quando ele sai do telefone, pois preciso fazer uma ligação.	2552
get off	write or send letters, messages, etc.	escrever ou enviar cartas, mensagens, etc.	I got three emails off before the meeting.	Escrevi três e-mails antes da reunião.	2553
get off	say or write something funny.	dizer ou escrever algo engraçado.	She got off some jokes at the start of her presentation.	Ela disse algumas piadas no início de sua apresentação.	2554
get off	to leave a form of transportation, except a car.	deixar uma forma de transporte, exceto um carro.	He got off on a technicality and left the court a free man.	Ele escapou da punição em um tecnicismo e saiu do tribunal um homem livre.	2555
get off	don't touch, leave alone.	não tocar em algo, sair sozinho.	If he bothers you, just tell him where to get off.	Se ele te incomoda, diga a ele onde não deva tocar.	2556
get off	move from being on top of (something) to not being on top of it	passar cima de algo para não estar em cima disso			2557
get off	move (something) from being on top of (something else) to not being on top of it	mover algo de estar em cima de outra coisa para não estar em cima disso			2558
get off	disembark, especially from mass transportation	desembarque, especialmente de transporte coletivo			2559
get off	stop (doing something), to desist from (doing something)	parar de fazer algo, desistir de fazer algo			2560
get off	stop using a piece of equipment, such as a telephone or computer	parar de usar um equipamento, como telefone ou computador			2561
get off	complete a shift or a day's work	completar um turno ou um dia de trabalho			2562
get off	stop touching or interfering with something or someone	parar de tocar ou interferir em algo ou alguém			2563
get off	excite or arouse, especially in a sexual manner	excitar ou subir, especialmente de maneira sexual			2564
get off	experience an orgasm or other sexual pleasure	experimentar um orgasmo ou outro prazer sexual			2565
get off	kiss; to smooch	beijo; beijoca			2566
get off	escape (with usually only mild consequences)	fuga (geralmente com consequências leves)			2567
get off	fall asleep	cair no sono adormecer			2568
get off	behave in an presumptuous, rude, or intrusive manner	comportar-se de maneira presunçosa, rude ou intrusiva			2569
get off	leave a bus, train, plane	deixar um ônibus, trem, avião			2570
get off	finish talking on the phone	terminar de falar ao telefone			2571
get off it	a way of expressing disbelief, or telling someone that they're wrong or have an incorrect opinion.	uma maneira de expressar descrença ou dizer a alguém que eles estão errados ou têm uma opinião incorreta.	I knew he was lying so I told him to get off it.	Eu sabia que ele estava mentindo, então eu disse a ele para sair dessa.	2572
get off on	to be excited or to truly enjoy doing something.	estar animado ou realmente gostar de fazer alguma coisa.	He gets off on crystal meth every night.	Ele usa metanfetamina todas as noites.	2573
get off on	enjoy a drug.	desfrutar de uma droga.	He gets off on crystal meth every night.	Ele usa metanfetamina todas as noites.	2574
get off on	become excited by.	ficar animado por.	She gets off on her power over us.	Ela fica excitada por seu poder sobre nós.	2575
get off on	to be excited or to truly enjoy doing something.	estar animado ou realmente gostar de fazer alguma coisa.	He gets off on crystal meth every night.	Ele usa metanfetamina todas as noites.	2576
get off on	be excited or aroused by; to derive pleasure from	ficar animado ou excitado por; tirar prazer de			2577
get off on	have a sexual encounter with	ter um encontro sexual com			2578
get off with	have casual sex with.	ter sexo casual com.	He got off with her at the party.	Ele teve sexo com ela na festa.	2579
get on	to get into a bus, train, taxi, or plane; to be successful in your career	entrar em um ônibus, trem, táxi ou avião; ser bem sucedido em sua carreira	My dad got on the plane at 8 a.m.	O meu pai entrou no avião às 8 da manhã.	2580
get on	to get into a bus, train, taxi, or plane; to be successful in your career	entrar em um ônibus, trem, táxi ou avião; ser bem sucedido em sua carreira	Tom is getting on the bus to school.	Tom está entrando no ônibus para a escola.	2581
get on	to get into a bus, train, taxi, or plane; to be successful in your career	entrar em um ônibus, trem, táxi ou avião; ser bem sucedido em sua carreira	I believe that he'll get on in the teaching field.	Eu acredito que ele vai entrar no campo de ensino.	2582
get on	like each other	gostar um do outro	I was surprised how well my new girlfriend and my sister got on	Fiquei surpreso com o quão bem minha nova namorada e minha irmã se deram	2583
get on	step onto a vehicle	entrar em um veículo	We're going to freeze out here if you don't let us get on the bus.	Vamos congelar aqui se não nos deixar entrar no ônibus.	2584
get on	to make progress or continue	progredir ou continuar	He needs to get on with his work.	Ele precisa continuar com seu trabalho.	2585
get on	when you move your body and either stand, sit, lie, kneel, etc. towards something (non-separable).	quando você move seu corpo e fica em pé, senta, mente, ajoelha-se etc. em direção a algo ( não separável ).	The teacher asked the pupils to get on with some work quietly as she had to leave the classroom.	A professora pediu aos alunos que continuassem com algum trabalho em silêncio pois ela tinha que deixar a sala de aula.	2586
get on	like each other		I was surprised how well my new girlfriend and my sister got on	Fiquei surpreso com o quão bem minha nova namorada e minha irmã se deram	2587
get on	continue doing something.	continuar fazendo alguma coisa.	The teacher asked the pupils to get on with some work quietly as she had to leave the classroom.	A professora pediu aos alunos que continuassem com algum trabalho em silêncio pois ela tinha que deixar a sala de aula.	2588
get on	enter a bus, train, plane, etc..	entrar em um ônibus, trem, avião, etc.	We got on the train at Plymouth and went up to London.	Nós entramos no trem em Plymouth e subimos a Londres.	2589
get on	make progress, deal with something with a reasonable degree of success.	progredir, lidar com algo com um grau razoável de sucesso.	How are you getting on with your Spanish lessons?	Como você está se saindo com suas lições espanholas?	2590
get on	have a good relationship.	ter um bom relacionamento.	We have always got on well.	Nós sempre nos demos bem.	2591
